Region,Country,First Closed Won Opp Date,Account ID,CSM Status Stage,Activation Date,Highest Product,Last Product usage date,# delivery partners
Region B,Country 9,12/22/2021,0016R0000377nFG,Active,,,1/14/2022 11:12 PM,1
Region B,Country 9,12/22/2021,0016R0000377nFp,Active,,,1/14/2022 11:12 PM,1
Region B,Country 2,12/17/2021,0016R0000377NGE,Active,20-Dec-2021,,12/26/2021 12:15 AM,3
Region C,Country 16,12/15/2021,0016R0000377NGJ,Active,16-Dec-2021,,1/6/2022 6:11 AM,0
Region B,Country 9,12/22/2021,0016R0000377NH7,Active,6-Jan-2022,,,1
Region D,Country 7,12/22/2021,0016R0000377nJN,Onboarding,,,,
Region D,Country 24,12/22/2021,0016R0000377nJS,Onboarding,,,,
Region B,Country 9,12/22/2021,0016R0000377nJw,Churned,3-Jan-2022,,,0
Region C,Country 16,12/22/2021,0016R0000377nKk,Active,7-Jan-2022,,1/10/2022 5:51 AM,1
Region C,Country 16,12/13/2021,0016R0000377NKV,Active,15-Dec-2021,,1/15/2022 4:58 AM,3
Region B,Country 19,12/16/2021,0016R0000377NlE,Active,21-Dec-2021,,12/20/2021 9:14 AM,2
Region C,Country 16,12/22/2021,0016R0000377nMg,Active,,,1/14/2022 4:11 AM,3
Region C,Country 16,12/22/2021,0016R0000377nMH,Active,23-Dec-2021,,1/7/2022 8:20 AM,5
Region C,Country 16,12/15/2021,0016R0000377Nmv,Active,16-Dec-2021,,12/31/2021 3:15 AM,1
Region C,Country 16,12/22/2021,0016R0000377nMv,Active,27-Dec-2021,,1/14/2022 11:44 PM,3
Region C,Country 16,12/13/2021,0016R0000377Nn0,Active,14-Dec-2021,,12/14/2021 10:58 AM,3
Region B,Country 2,12/14/2021,0016R0000377NNn,Active,16-Dec-2021,,1/14/2022 1:19 AM,2
Region B,Country 9,12/22/2021,0016R0000377nNy,Onboarding,,,,0
Region C,Country 16,12/13/2021,0016R0000377Nom,Active,14-Dec-2021,,1/5/2022 2:34 AM,2
Region C,Country 16,12/13/2021,0016R0000377Nop,Active,14-Dec-2021,,1/5/2022 2:34 AM,1
Region C,Country 16,12/13/2021,0016R0000377NpB,Active,14-Dec-2021,,12/23/2021 7:05 AM,3
Region C,Country 16,12/13/2021,0016R0000377Nqs,Active,13-Dec-2021,,1/5/2022 2:34 AM,1
Region A,Country 1,12/14/2021,0016R0000377Nrb,Active,14-Dec-2021,,1/14/2022 1:21 PM,2
Region C,Country 16,12/13/2021,0016R0000377NrW,Active,13-Dec-2021,,1/5/2022 2:34 AM,1
Region C,Country 16,12/13/2021,0016R0000377Nsr,Onboarding,,,1/15/2022 1:09 AM,2
Region C,Country 16,12/13/2021,0016R0000377Nu0,Active,14-Jan-2022,,1/15/2022 12:50 AM,3
Region C,Country 16,12/13/2021,0016R0000377Nv7,Active,14-Jan-2022,,1/15/2022 12:50 AM,1
Region B,Country 2,12/22/2021,0016R0000377nV8,Onboarding,,,1/12/2022 10:34 PM,1
Region B,Country 2,12/22/2021,0016R0000377nV9,Onboarding,,,1/12/2022 10:34 PM,1
Region B,Country 2,12/22/2021,0016R0000377nVA,Onboarding,,,1/12/2022 10:34 PM,1
Region B,Country 2,12/22/2021,0016R0000377nVB,Onboarding,,,1/12/2022 10:34 PM,1
Region B,Country 2,12/22/2021,0016R0000377nVC,Onboarding,,,1/12/2022 10:34 PM,1
Region B,Country 2,12/22/2021,0016R0000377nVD,Onboarding,,,1/12/2022 10:34 PM,1
Region B,Country 2,12/22/2021,0016R0000377nVE,Onboarding,,,1/12/2022 10:34 PM,1
Region B,Country 2,12/22/2021,0016R0000377nVF,Onboarding,,,1/12/2022 10:34 PM,1
Region B,Country 2,12/22/2021,0016R0000377nVG,Onboarding,,,1/12/2022 10:34 PM,1
Region B,Country 2,12/22/2021,0016R0000377nVH,Onboarding,,,1/12/2022 10:34 PM,1
Region B,Country 2,12/22/2021,0016R0000377nVI,Onboarding,,,1/12/2022 10:34 PM,1
Region B,Country 2,12/22/2021,0016R0000377nVJ,Onboarding,,,1/12/2022 10:34 PM,1
Region B,Country 2,12/22/2021,0016R0000377nVK,Onboarding,,,1/12/2022 10:34 PM,1
Region B,Country 2,12/22/2021,0016R0000377nVL,Onboarding,,,1/12/2022 10:34 PM,0
Region B,Country 2,12/22/2021,0016R0000377nVM,Onboarding,,,1/12/2022 10:34 PM,1
Region B,Country 2,12/22/2021,0016R0000377nVN,Onboarding,,,1/12/2022 10:34 PM,1
Region B,Country 2,12/22/2021,0016R0000377nVO,Onboarding,,,1/12/2022 10:34 PM,1
Region B,Country 2,12/22/2021,0016R0000377nVP,Onboarding,,,1/12/2022 10:34 PM,1
Region B,Country 2,12/22/2021,0016R0000377nVQ,Onboarding,,,1/12/2022 10:34 PM,1
Region B,Country 2,12/22/2021,0016R0000377nVR,Onboarding,,,1/12/2022 10:34 PM,1
Region B,Country 2,12/22/2021,0016R0000377nVS,Onboarding,,,1/12/2022 10:34 PM,1
Region B,Country 2,12/22/2021,0016R0000377nVT,Onboarding,,,1/12/2022 10:34 PM,0
Region B,Country 2,12/22/2021,0016R0000377nVU,Onboarding,,,1/12/2022 10:34 PM,1
Region B,Country 2,12/22/2021,0016R0000377nVV,Onboarding,,,1/12/2022 10:34 PM,1
Region C,Country 16,12/13/2021,0016R0000377NvW,Active,21-Dec-2021,,1/15/2022 12:50 AM,3
Region B,Country 2,12/22/2021,0016R0000377nVW,Onboarding,,,1/12/2022 10:34 PM,1
Region B,Country 9,12/28/2021,0016R0000377nVw,Active,3-Jan-2022,,12/28/2021 11:28 PM,1
Region B,Country 2,12/22/2021,0016R0000377nVX,Onboarding,,,1/12/2022 10:34 PM,1
Region B,Country 2,12/22/2021,0016R0000377nVY,Onboarding,,,1/12/2022 10:34 PM,1
Region B,Country 2,12/22/2021,0016R0000377nVZ,Onboarding,,,1/12/2022 10:34 PM,1
Region C,Country 16,12/13/2021,0016R0000377Nw0,Active,21-Dec-2021,,1/15/2022 12:50 AM,2
Region C,Country 16,12/13/2021,0016R0000377Nwj,Active,13-Dec-2021,,,1
Region C,Country 16,12/13/2021,0016R0000377Nwl,Active,13-Dec-2021,,,1
Region C,Country 16,12/13/2021,0016R0000377Nwm,Active,13-Dec-2021,,,1
Region C,Country 16,12/13/2021,0016R0000377NwP,Active,23-Dec-2021,,1/15/2022 12:50 AM,1
Region C,Country 16,12/13/2021,0016R0000377Nwy,Active,13-Dec-2021,,,1
Region A,Country 1,12/14/2021,0016R0000377O2W,Active,14-Dec-2021,,1/14/2022 1:21 PM,2
Region A,Country 1,12/14/2021,0016R0000377O3t,Active,14-Dec-2021,,,2
Region C,Country 16,12/13/2021,0016R0000377O3y,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O43,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O48,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O49,Active,13-Dec-2021,,12/2/2021 7:29 AM,1
Region C,Country 16,12/13/2021,0016R0000377O4c,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O4D,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O4E,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O4h,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O4I,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O4J,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O4m,Active,13-Dec-2021,,11/28/2021 11:47 PM,
Region C,Country 16,12/13/2021,0016R0000377O4N,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O4r,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O4S,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O4w,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O4X,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O51,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O56,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O5a,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O5B,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O5f,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O5G,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O5k,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O5L,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O5p,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O5u,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O5V,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O5z,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O64,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O69,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O6d,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O6E,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O6i,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O6J,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O6n,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O6O,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O6s,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O6T,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O6x,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O6Y,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O6Z,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O72,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O77,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O7b,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O7C,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O7g,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
Region C,Country 16,12/13/2021,0016R0000377O7H,Active,13-Dec-2021,,11/28/2021 11:47 PM,1
